query,original_query,concepts
Neogene mammals of Africa that are Odd-toed ungulates,<mark>Odd-toed ungulates</mark> that are also <mark>Neogene mammals of Africa</mark>,"[""Neogene mammals"", ""Mammals of Africa"", ""Odd-toed ungulates""]"
Books from Iceland that aren't about Iceland,<mark>Icelandic books</mark> that are not <mark>Books about Iceland</mark>,"[""Books by Icelandic authors"", ""Books published in Iceland"", ""Icelandic-language books"", ""Books about Iceland""]"
Flora of Sinaloa excluding Flora of Northeastern Mexico,<mark>Flora of Sinaloa</mark> that are not <mark>Flora of Northeastern Mexico</mark>,"[""Flora of Sinaloa"", ""Flora of Northeastern Mexico"", ""Endemic flora of Sinaloa"", ""Flora of Northwestern Mexico""]"
Birds of Canada and Mexico but not Fauna of Canada,<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Fauna of Canada</mark>,"[""Birds of Canada"", ""Birds of Mexico"", ""Birds of North America"", ""Fauna of Canada""]"
what are Paleognathae that are not Flightless birds,<mark>Paleognathae</mark> that are not <mark>Flightless birds</mark>,"[""Paleognathae"", ""Tinamous"", ""Ratites"", ""Flightless birds""]"
"1980s animated superhero, South Korean fantasy adventure, or American children's animated space adventure films",<mark>1980s animated superhero films</mark> or <mark>South Korean fantasy adventure films</mark> or <mark>American children's animated space adventure films</mark>,"[""1980s films"", ""Animated superhero films"", ""South Korean fantasy adventure films"", ""American animated space adventure films"", ""Children's animated films""]"
historical novels from Hungary,<mark>Hungarian historical novels</mark>,"[""Historical novels"", ""Novels by Hungarian authors"", ""Novels published in Hungary"", ""Hungarian-language novels""]"
"Birds not native to the Western US, but that are in Mexico and Canada",<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Native birds of the Western United States</mark>,"[""Birds of Mexico"", ""Birds of Canada"", ""Native birds of the Western United States""]"
2010s German non-fiction books,<mark>German non-fiction books</mark> that are also <mark>2010s non-fiction books</mark>,"[""Non-fiction books"", ""2010s books"", ""German-language books"", ""Books by German authors""]"
"Plants in Hinduism, Bible, or religion.",<mark>Plants in Hinduism</mark> or <mark>Plants in religion</mark> or <mark>Plants in the Bible</mark>,"[""Sacred plants in Hinduism"", ""Plants mentioned in the Bible"", ""Plants used in religious rituals"", ""Plants with religious symbolism"", ""Sacred trees in world religions""]"
Black comedy films about other films that are not American,<mark>Films about films</mark> that are also <mark>Black comedy films</mark> but not <mark>American black comedy films</mark>,"[""Black comedy films"", ""Films about filmmaking"", ""American films""]"
"Amphibians that are found in Cambodia, but not Thailand",<mark>Amphibians of Cambodia</mark> that are not <mark>Amphibians of Thailand</mark>,"[""Amphibians of Cambodia"", ""Amphibians of Thailand"", ""Endemic amphibians of Cambodia"", ""Amphibians of Mainland Southeast Asia""]"
Pennsylvanian animals or Carboniferous of Asia,<mark>Carboniferous animals of Asia</mark> or <mark>Pennsylvanian animals</mark>,"[""Pennsylvanian animals"", ""Carboniferous of Asia"", ""Carboniferous fauna of Asia""]"
"Middle Jurassic reptiles, Jurassic animals or Middle Jurassic tetrapods of South America",<mark>Middle Jurassic reptiles of South America</mark> or <mark>Jurassic animals of South America</mark> or <mark>Middle Jurassic tetrapods of South America</mark>,"[""Middle Jurassic reptiles"", ""Jurassic period animals"", ""Middle Jurassic tetrapods of South America""]"
Novels set in Asia about writers but not biographical,<mark>Novels set in Asia</mark> that are also <mark>Novels about writers</mark> but not <mark>Biographical novels</mark>,"[""Novels set in Asia"", ""Novels about writers"", ""Biographical novels""]"
"Trees of the Windward Islands,Îles des Saintes, or Tabasco",<mark>Trees of the Windward Islands</mark> or <mark>Trees of Îles des Saintes</mark> or <mark>Trees of Tabasco</mark>,"[""Trees of the Windward Islands"", ""Trees of \u00celes des Saintes"", ""Trees of Tabasco""]"
Fauna of Tibet and Arthropods of Asia,<mark>Arthropods of Asia</mark> that are also <mark>Fauna of Tibet</mark>,"[""Fauna of Tibet"", ""Arthropods of Asia"", ""Himalayan arthropods"", ""High-altitude invertebrates""]"
movies based on works by Bill Finger that are not American animated superhero movies,<mark>Films based on works by Bill Finger</mark> that are not <mark>American animated superhero films</mark>,"[""Films based on works by Bill Finger"", ""American animated superhero films"", ""Batman films""]"
"Birds from Saint Lucia, Dominica, or Guadeloupe",<mark>Birds of Saint Lucia</mark> or <mark>Birds of Dominica</mark> or <mark>Birds of Guadeloupe</mark>,"[""Birds of Saint Lucia"", ""Birds of Dominica"", ""Birds of Guadeloupe"", ""Birds of the Lesser Antilles""]"
Fauna or Endemic fish of Metropolitan France,<mark>Endemic fish of Metropolitan France</mark> or <mark>Fauna of Metropolitan France</mark>,"[""Fauna of Metropolitan France"", ""Endemic fish of Metropolitan France"", ""Freshwater fish of Metropolitan France"", ""Marine fish of Metropolitan France""]"
"trees of of the southern and north central united states, but not trees of eastern canada",<mark>Flora of the Southern United States</mark> that are also <mark>Trees of the North-Central United States</mark> but not <mark>Trees of Eastern Canada</mark>,"[""Trees of the Southern United States"", ""Trees of the North-Central United States"", ""Trees of Eastern Canada""]"
Books about Islamic fundamentalism but not ideologies,<mark>Books about Islamic fundamentalism</mark> that are not <mark>Books about ideologies</mark>,"[""Books about Islamic fundamentalism"", ""Academic books on political Islam"", ""Ideologies""]"
Science books about cultural geography but not Psychology,<mark>Science books</mark> that are also <mark>Books about cultural geography</mark> but not <mark>Psychology books</mark>,"[""Science books"", ""Books on cultural geography"", ""Psychology books""]"
"Movies that are either German psychological drama, French psychological horror, or Danish nonlinear narrative genres.",<mark>German psychological drama films</mark> or <mark>French psychological horror films</mark> or <mark>Danish nonlinear narrative films</mark>,"[""German psychological drama films"", ""French psychological horror films"", ""Danish nonlinear narrative films""]"
"2010 non fiction books that are non LGBT related, but about sexuality",<mark>2010s non-fiction books</mark> that are also <mark>Non-fiction books about sexuality</mark> but not <mark>LGBT-related books</mark>,"[""Nonfiction books"", ""Books about human sexuality"", ""Books about sexual health"", ""Sex education books"", ""Books about LGBT topics""]"
1960s spy comedy American thriller films,<mark>1960s spy comedy films</mark> that are also <mark>American thriller films</mark>,"[""1960s films"", ""American films"", ""Spy comedy films"", ""Thriller films""]"
Flora of North Korea or Orchids of Guizhou or Sichuan,<mark>Flora of North Korea</mark> or <mark>Orchids of Guizhou</mark> or <mark>Orchids of Sichuan</mark>,"[""Flora of North Korea"", ""Orchids of Guizhou"", ""Orchids of Sichuan""]"
Books about bacon or Andrews McMeel Publishing,<mark>Andrews McMeel Publishing books</mark> or <mark>Books about bacon</mark>,"[""Books about bacon"", ""Bacon cookbooks"", ""Books published by Andrews McMeel Publishing""]"
Novels about nobility that are not Historical,<mark>Novels about nobility</mark> that are not <mark>Historical novels</mark>,"[""Novels about nobility"", ""Historical novels"", ""Contemporary novels""]"
Trees of the Western and Northwestern United States that are also in Mexico,<mark>Trees of the Western United States</mark> that are also both <mark>Trees of Mexico</mark> and <mark>Trees of the Northwestern United States</mark>,"[""Trees of the Western United States"", ""Trees of the Northwestern United States"", ""Trees of Mexico""]"
films about criminals in performing arts that doesn't involve stalking,<mark>Films about performing arts</mark> that are also <mark>Films about criminals</mark> but not <mark>Films about stalking</mark>,"[""Criminals in the performing arts"", ""Films about performers and show business"", ""Crime films with entertainer protagonists"", ""Stalking in film""]"
find me 1858 French novels or French children's novels,<mark>1858 French novels</mark> or <mark>French children's novels</mark>,"[""French novels"", ""19th-century French novels"", ""French children's novels""]"
Endemic fauna from Albania,<mark>Endemic fauna of Albania</mark>,"[""Endemic fauna of Albania"", ""Endemic mammals of Albania"", ""Endemic reptiles of Albania"", ""Endemic amphibians of Albania"", ""Endemic fish of Albania"", ""Endemic invertebrates of Albania""]"
"Pinnipeds of Africa, Oceania, or Monachines",<mark>Pinnipeds of Africa</mark> or <mark>Pinnipeds of Oceania</mark> or <mark>Monachines</mark>,"[""Pinnipeds of Africa"", ""Pinnipeds of Oceania"", ""Monachinae seals""]"
Kidnapping films in the UK,<mark>Films about kidnapping in the United Kingdom</mark>,"[""Kidnapping films"", ""Films set in the United Kingdom"", ""British crime thriller films""]"
Birds described in 1957 or Endemic birds of Panama,<mark>Endemic birds of Panama</mark> or <mark>Birds described in 1957</mark>,"[""Birds described in 1957"", ""Endemic birds of Panama""]"
what are Mesozoic cephalopods of North America or Asia,<mark>Mesozoic cephalopods of North America</mark> or <mark>Mesozoic cephalopods of Asia</mark>,"[""Mesozoic cephalopods"", ""Mesozoic fossils of North America"", ""Mesozoic fossils of Asia"", ""Ammonites of the Mesozoic"", ""Belemnites of the Mesozoic""]"
History books about Hinduism or Books about Hindutva,<mark>Books about Hindutva</mark> or <mark>History books about Hinduism</mark>,"[""History books on Hinduism"", ""Books on Hindutva ideology"", ""Religious history of India"", ""Hinduism in modern India""]"
Biographical documentary crime war films but not about genocide,<mark>Crime war films</mark> that are also <mark>Biographical documentary films</mark> but not <mark>Films about genocide</mark>,"[""Biographical films"", ""Documentary films"", ""Crime films"", ""War films"", ""Films about genocide""]"
what are Novels by Ernst Jünger,<mark>Novels by Ernst Jünger</mark>,"[""Novels by Ernst J\u00fcnger"", ""German-language novels"", ""20th-century German novels"", ""Philosophical novels""]"
Birds found in Sierra Madre Oriental that aren't found in Sierra Madre Occidental,<mark>Birds of the Sierra Madre Oriental</mark> that are not <mark>Birds of the Sierra Madre Occidental</mark>,"[""Birds of the Sierra Madre Oriental"", ""Birds of the Sierra Madre Occidental"", ""Montane birds of Mexico"", ""Birds of northeastern Mexico""]"
1985 speculative fiction novels that are not Science fiction.,<mark>1985 speculative fiction novels</mark> that are not <mark>Science fiction novels</mark>,"[""Speculative fiction novels"", ""Fantasy novels"", ""Horror novels"", ""Magical realism novels"", ""Supernatural fiction novels"", ""Alternate history novels""]"
Rodents of Malaysia that are not in Indonesia,<mark>Rodents of Malaysia</mark> that are not <mark>Rodents of Indonesia</mark>,"[""Rodents of Malaysia"", ""Rodents of Indonesia"", ""Endemic rodents of Malaysia"", ""Rodents of Peninsular Malaysia"", ""Rodents of Borneo""]"
Novels set in elementary and primary schools excluding American children's novels,<mark>Novels set in elementary and primary schools</mark> that are not <mark>American children's novels</mark>,"[""Novels set in elementary schools"", ""Novels set in primary schools"", ""Children's school novels"", ""American children's novels""]"
Flora of Palau or Guam or Carnivorous plants of the Pacific,<mark>Flora of Guam</mark> or <mark>Carnivorous plants of the Pacific</mark> or <mark>Flora of Palau</mark>,"[""Flora of Palau"", ""Flora of Guam"", ""Carnivorous plants of the Pacific"", ""Flora of Micronesia""]"
Birds of islands of the Atlantic Ocean and Vertebrates of Belize,<mark>Vertebrates of Belize</mark> that are also <mark>Birds of islands of the Atlantic Ocean</mark>,"[""Birds of Atlantic Ocean islands"", ""Vertebrates of Belize"", ""Birds of the Caribbean islands"", ""Birds of Macaronesia""]"
Extinct animals from the Quaternary period or extinct birds from Europe,<mark>Quaternary animals of Europe</mark> or <mark>Extinct birds of Europe</mark>,"[""Extinct animals"", ""Quaternary period"", ""Extinct birds"", ""Birds of Europe""]"
Mammals from Lesotho,<mark>Mammals of Lesotho</mark>,"[""Mammals of Lesotho"", ""Endemic mammals of Lesotho"", ""Mammals of Southern Africa"", ""Fauna of Lesotho"", ""Bats of Lesotho""]"
Angiosperms of Manchuria,<mark>Flora of Manchuria</mark> that are also <mark>Angiosperms</mark>,"[""Flowering plants"", ""Flora of Manchuria"", ""Flora of Northeast China"", ""Flora of Heilongjiang"", ""Flora of Jilin"", ""Flora of Liaoning""]"
"Japanese LGBT novels, Shueisha novels, or novels by Yukio Mishima",<mark>Shueisha books</mark> or <mark>Japanese LGBT novels</mark> or <mark>Novels by Yukio Mishima</mark>,"[""Japanese LGBT novels"", ""Novels published by Shueisha"", ""Novels by Yukio Mishima""]"
Non historical novels set in Vietnam,<mark>Novels set in Vietnam</mark> that are not <mark>Historical novels</mark>,"[""Novels set in Vietnam"", ""Contemporary novels"", ""Historical novels"", ""Vietnam War novels""]"
Flora of the United States that are both Flora of the Western United States and Apiaceae genera,<mark>Flora of the United States</mark> that are also both <mark>Flora of the Western United States</mark> and <mark>Apiaceae genera</mark>,"[""Flora of the United States"", ""Flora of the Western United States"", ""Apiaceae genera""]"
"Plants that exist in Mexico, Peru, and Nigeria",<mark>Flora of Mexico</mark> that are also both <mark>Flora of Peru</mark> and <mark>Flora of Nigeria</mark>,"[""Plants of Mexico"", ""Plants of Peru"", ""Plants of Nigeria"", ""Cultivated plants"", ""Pantropical plant species""]"
Horror war films that are not Monster movies,<mark>Horror war films</mark> that are not <mark>Monster movies</mark>,"[""Horror films"", ""War films"", ""Monster movies"", ""World War II films""]"
what are the Flora of the Zanzibar Archipelago,<mark>Flora of the Zanzibar Archipelago</mark>,"[""Flora of the Zanzibar Archipelago"", ""Endemic plants of Zanzibar and Pemba"", ""Coastal East African flora"", ""Island flora of Tanzania"", ""Indian Ocean island plant species""]"
what are  some Flora of Madagascar that are also Magnoliales genera?,<mark>Flora of Madagascar</mark> that are also <mark>Magnoliales genera</mark>,"[""Plant genera of Madagascar"", ""Magnoliales genera"", ""Annonaceae genera"", ""Magnoliaceae genera"", ""Myristicaceae genera""]"
Non American pornographic horror films,<mark>Pornographic films</mark> that are also <mark>Pornographic horror films</mark> but not <mark>American pornographic films</mark>,"[""Pornographic horror films"", ""Pornographic films"", ""Horror films"", ""American films""]"
Non-comedic musical films from 1932,<mark>1932 musical films</mark> that are not <mark>1930s comedy films</mark>,"[""Musical films"", ""1930s films"", ""Comedy films""]"
what are some Birds described in 2004,<mark>Birds described in 2004</mark>,"[""Bird species described in 2004"", ""Ornithology new species descriptions"", ""Taxa described in the twenty-first century""]"
Insects found in both Africa and the Canary Islands,<mark>Insects of Africa</mark> that are also both <mark>Moths of Africa</mark> and <mark>Fauna of the Canary Islands</mark>,"[""Insects of Africa"", ""Insects of the Canary Islands"", ""Insects of Macaronesia""]"
Mammals from both North and South America that are Neogene,<mark>Fauna of North America</mark> that are also both <mark>Miocene mammals of South America</mark> and <mark>Neogene mammals</mark>,"[""Mammals of North America"", ""Mammals of South America"", ""Neogene mammals"", ""Miocene mammals"", ""Pliocene mammals""]"
Flora of French Guiana but not Brazil,<mark>Flora of French Guiana</mark> that are not <mark>Flora of Brazil</mark>,"[""Flora of French Guiana"", ""Endemic plants of French Guiana"", ""Flora of Brazil""]"
"Irish slasher, Irish supernatural horror, or Swedish comedy horror films",<mark>Swedish comedy horror films</mark> or <mark>Irish slasher films</mark> or <mark>Irish supernatural horror films</mark>,"[""Irish slasher films"", ""Irish supernatural horror films"", ""Swedish comedy horror films""]"
American spy and drama films about mental health,<mark>Films about mental health</mark> that are also both <mark>American spy films</mark> and <mark>Drama films</mark>,"[""American films"", ""Spy films"", ""Drama films"", ""Films about mental health""]"
Films based on Around the World in Eighty Days or set in Sylhet,<mark>Films set in Sylhet</mark> or <mark>Films based on Around the World in Eighty Days</mark>,"[""Film adaptations of Around the World in Eighty Days"", ""Films based on works by Jules Verne"", ""Films set in Sylhet"", ""Films set in Bangladesh"", ""Adventure films based on classic literature""]"
1979 American Biographical novels,<mark>Biographical novels</mark> that are also <mark>1979 American novels</mark>,"[""Biographical novels"", ""American novels"", ""1970s novels""]"
Avant-garde and experimental films from 1910,<mark>1910s avant-garde and experimental films</mark>,"[""Avant-garde films"", ""Experimental films"", ""Silent films"", ""Short films"", ""Early cinema""]"
what are some movies based on works by Alexander Ostrovsky,<mark>Films based on works by Alexander Ostrovsky</mark>,"[""Films based on works by Alexander Ostrovsky"", ""Film adaptations of Russian plays"", ""Films based on Russian literature"", ""Russian drama films"", ""Soviet cinema""]"
Films based on works by Bob Kane that are not animated DC comic films,<mark>Films based on works by Bob Kane</mark> that are not <mark>Animated films based on DC Comics</mark>,"[""Films based on Bob Kane creations"", ""Live-action Batman films"", ""DC Comics film adaptations"", ""Animated DC Comics films""]"
Trees of the Caribbean that are also in the Southeastern United States and western South America,<mark>Flora of the Caribbean</mark> that are also both <mark>Trees of the Southeastern United States</mark> and <mark>Trees of western South America</mark>,"[""Trees of the Caribbean"", ""Trees of the Southeastern United States"", ""Trees of western South America"", ""Neotropical trees""]"
1903 or Spanish silent short films,<mark>Spanish silent short films</mark> or <mark>1903 short films</mark>,"[""Films released in 1903"", ""Spanish silent short films""]"
Fauna of the Caribbean that are Fauna of East Asia,<mark>Fauna of the Caribbean</mark> that are also <mark>Fauna of East Asia</mark>,"[""Fauna of the Caribbean"", ""Fauna of East Asia"", ""Pantropical marine fauna"", ""Cosmopolitan shorebirds"", ""Widely distributed pelagic fishes""]"
1992 American children's comedy animated musical films,<mark>1992 films</mark> that are also both <mark>Animated musical films</mark> and <mark>American children's comedy films</mark>,"[""1992 films"", ""American films"", ""Children's films"", ""Animated films"", ""Musical films"", ""Comedy films""]"
"1558, 1554, or 1555 books",<mark>1558 books</mark> or <mark>1554 books</mark> or <mark>1555 books</mark>,"[""Books published in the 1550s"", ""Mid-16th-century literature"", ""Early modern printed books""]"
"Urban survival films, or set in 2040 or DC Animated Universe films",<mark>Urban survival films</mark> or <mark>Films set in 2040</mark> or <mark>DC Animated Universe films</mark>,"[""Urban survival films"", ""Films set in 2040"", ""DC Animated Universe films""]"
Marine animals from Canada and the Eastern United States,<mark>Fauna of Canada</mark> that are also both <mark>Fauna of the Eastern United States</mark> and <mark>Marine animals</mark>,"[""Marine animals"", ""Marine fauna of Canada"", ""Marine fauna of the East Coast of the United States"", ""Western North Atlantic marine species""]"
1954 films about murderers,<mark>Films about murderers</mark> that are also <mark>1954 films</mark>,"[""1950s films"", ""Films about murderers"", ""Crime films"", ""Feature films""]"
Political novels set in Russia but not a Speculative fiction,<mark>Political novels</mark> that are also <mark>Novels set in Russia</mark> but not <mark>Speculative fiction novels</mark>,"[""Political novels"", ""Novels set in Russia"", ""Speculative fiction novels"", ""Political thriller novels""]"
2020s or South Korean political comedy or Indian political comedy-drama films,<mark>Indian political comedy-drama films</mark> or <mark>2020s political comedy films</mark> or <mark>South Korean political comedy films</mark>,"[""2020s films"", ""South Korean political comedy films"", ""Indian political comedy-drama films""]"
2010s Supernatural films shot in South Carolina,<mark>Films shot in South Carolina</mark> that are also both <mark>2010s films</mark> and <mark>Supernatural films</mark>,"[""Supernatural films"", ""2010s films"", ""Films shot in South Carolina""]"
historical high fantasy novels.,<mark>Historical novels subgenres</mark> that are also <mark>High fantasy novels</mark> but not <mark>Novels set in the future</mark>,"[""High fantasy novels"", ""Historical fantasy novels"", ""Secondary world fantasy with historical eras"", ""Medieval-inspired fantasy settings"", ""Epic fantasy with historical themes""]"
Books by Feng Menglong or novels that are Chinese comedy or Ming dynasty,<mark>Books by Feng Menglong</mark> or <mark>Chinese comedy novels</mark> or <mark>Ming dynasty novels</mark>,"[""Books by Feng Menglong"", ""Chinese comedy novels"", ""Ming dynasty novels""]"
what are some Non-fiction books about Soviet repression or Belarusian books,<mark>Non-fiction books about Soviet repression</mark> or <mark>Belarusian books</mark>,"[""Non-fiction books about Soviet repression"", ""Gulag memoirs"", ""Soviet history non-fiction"", ""Belarusian books""]"
Canadian novels from 1985 or Robertson Davies novels,<mark>1985 Canadian novels</mark> or <mark>Novels by Robertson Davies</mark>,"[""Canadian novels"", ""Novels published in 1985"", ""Novels by Robertson Davies""]"
2000 English books not about Europe,<mark>English books</mark> that are also <mark>2000 books</mark> but not <mark>Books about Europe</mark>,"[""Books published in 2000"", ""English-language books"", ""Books about Europe"", ""Books set in Europe""]"
Insects of the Solomon Islands or Western New Guinea,<mark>Insects of Western New Guinea</mark> or <mark>Insects of the Solomon Islands</mark>,"[""Insects of the Solomon Islands"", ""Insects of Western New Guinea"", ""Insects of Melanesia""]"
Arecaceae that are trees of Indo-China,<mark>Arecaceae</mark> that are also <mark>Trees of Indo-China</mark>,"[""Arecaceae"", ""Palm trees"", ""Flora of Indo-China"", ""Trees of Indo-China""]"
1990s drama films that are Canadian adventure films,<mark>1990s drama films</mark> that are also <mark>Canadian adventure films</mark>,"[""1990s films"", ""Drama films"", ""Adventure films"", ""Canadian films""]"
"Barbets,Birds described in 1965, Endemic birds of Zambia",<mark>Endemic birds of Zambia</mark> or <mark>Barbets</mark> or <mark>Birds described in 1965</mark>,"[""Barbet birds"", ""Birds described in the 1960s"", ""Endemic birds of Zambia""]"
