query,original_query,concepts
Fauna of Tibet and Arthropods of Asia,<mark>Arthropods of Asia</mark> that are also <mark>Fauna of Tibet</mark>,"[""Tibetan Plateau fauna"", ""Endemic species of Tibet"", ""Alpine steppe habitats of Tibet"", ""Arthropods of Asia"", ""Himalayan biogeography""]"
movies based on works by Bill Finger that are not American animated superhero movies,<mark>Films based on works by Bill Finger</mark> that are not <mark>American animated superhero films</mark>,"[""Films based on Bill Finger works"", ""Batman film adaptations"", ""Green Lantern film adaptations"", ""Live-action superhero films"", ""American animated superhero films""]"
"Birds from Saint Lucia, Dominica, or Guadeloupe",<mark>Birds of Saint Lucia</mark> or <mark>Birds of Dominica</mark> or <mark>Birds of Guadeloupe</mark>,"[""Saint Lucia bird species"", ""Dominica bird species"", ""Guadeloupe bird species"", ""Lesser Antilles avifauna"", ""Caribbean island endemic birds""]"
Fauna or Endemic fish of Metropolitan France,<mark>Endemic fish of Metropolitan France</mark> or <mark>Fauna of Metropolitan France</mark>,"[""Fauna of Metropolitan France"", ""Endemic freshwater fish of Metropolitan France"", ""Marine fish of Metropolitan France"", ""Freshwater ecosystems of Metropolitan France"", ""Conservation status of endemic fish in Metropolitan France""]"
"trees of of the southern and north central united states, but not trees of eastern canada",<mark>Flora of the Southern United States</mark> that are also <mark>Trees of the North-Central United States</mark> but not <mark>Trees of Eastern Canada</mark>,"[""Southern United States trees"", ""North Central United States trees"", ""United States native tree species"", ""Regional tree identification guides"", ""United States dendrology""]"
Books about Islamic fundamentalism but not ideologies,<mark>Books about Islamic fundamentalism</mark> that are not <mark>Books about ideologies</mark>,"[""Islamic fundamentalism"", ""Fundamentalist Islamic groups"", ""Radicalization and recruitment"", ""Jihadist organizations"", ""Middle East and North Africa"", ""Nonfiction books""]"
Science books about cultural geography but not Psychology,<mark>Science books</mark> that are also <mark>Books about cultural geography</mark> but not <mark>Psychology books</mark>,"[""Cultural geography"", ""Human geography"", ""Cultural landscapes"", ""Cultural diffusion"", ""Academic geography books""]"
"Movies that are either German psychological drama, French psychological horror, or Danish nonlinear narrative genres.",<mark>German psychological drama films</mark> or <mark>French psychological horror films</mark> or <mark>Danish nonlinear narrative films</mark>,"[""German psychological drama films"", ""French psychological horror films"", ""Danish nonlinear narrative films""]"
"2010 non fiction books that are non LGBT related, but about sexuality",<mark>2010s non-fiction books</mark> that are also <mark>Non-fiction books about sexuality</mark> but not <mark>LGBT-related books</mark>,"[""Human sexuality"", ""Sexual behavior and psychology"", ""Sociology of sex"", ""Heterosexuality"", ""21st-century nonfiction books""]"
1960s spy comedy American thriller films,<mark>1960s spy comedy films</mark> that are also <mark>American thriller films</mark>,"[""1960s American films"", ""Spy comedy films"", ""Comedy thriller films"", ""American spy thrillers"", ""Cold War espionage""]"
Flora of North Korea or Orchids of Guizhou or Sichuan,<mark>Flora of North Korea</mark> or <mark>Orchids of Guizhou</mark> or <mark>Orchids of Sichuan</mark>,"[""Flora of North Korea"", ""Orchids of Guizhou"", ""Orchids of Sichuan"", ""Floristic checklists"", ""East Asian plant biodiversity""]"
Books about bacon or Andrews McMeel Publishing,<mark>Andrews McMeel Publishing books</mark> or <mark>Books about bacon</mark>,"[""Bacon cookbooks"", ""Bacon-themed humor books"", ""Bacon history and culture"", ""Andrews McMeel Publishing books"", ""Andrews McMeel Publishing cookbooks""]"
Novels about nobility that are not Historical,<mark>Novels about nobility</mark> that are not <mark>Historical novels</mark>,"[""Contemporary aristocracy fiction"", ""Modern royalty novels"", ""Fantasy court intrigue"", ""Royal romance in present-day settings"", ""Satire of aristocratic society"", ""Urban fantasy with noble houses""]"
Trees of the Western and Northwestern United States that are also in Mexico,<mark>Trees of the Western United States</mark> that are also both <mark>Trees of Mexico</mark> and <mark>Trees of the Northwestern United States</mark>,"[""Western United States native tree species"", ""Northwestern United States tree flora"", ""Transboundary US\u2013Mexico tree species"", ""Madrean oak woodlands"", ""Sierra Madre Occidental conifers"", ""Sonoran Desert riparian trees""]"
films about criminals in performing arts that doesn't involve stalking,<mark>Films about performing arts</mark> that are also <mark>Films about criminals</mark> but not <mark>Films about stalking</mark>,"[""Crime films set in the performing arts"", ""Con artist performers"", ""Heist stories in theater and stage"", ""Music industry crime dramas"", ""Circus and magic world crime"", ""Show business underworld""]"
find me 1858 French novels or French children's novels,<mark>1858 French novels</mark> or <mark>French children's novels</mark>,"[""French novels"", ""French children's novels"", ""19th-century French literature"", ""Second French Empire fiction""]"
Endemic fauna from Albania,<mark>Endemic fauna of Albania</mark>,"[""Albanian endemic fauna"", ""Albanian endemic amphibians"", ""Albanian endemic reptiles"", ""Albanian endemic freshwater fish"", ""Albanian karst cave invertebrates"", ""Lake Ohrid endemic fauna""]"
"Pinnipeds of Africa, Oceania, or Monachines",<mark>Pinnipeds of Africa</mark> or <mark>Pinnipeds of Oceania</mark> or <mark>Monachines</mark>,"[""African pinnipeds"", ""Oceania pinnipeds"", ""Monachinae"", ""Monk seals"", ""Elephant seals""]"
Kidnapping films in the UK,<mark>Films about kidnapping in the United Kingdom</mark>,"[""Kidnapping theme"", ""Hostage drama"", ""Ransom plot"", ""Crime thriller films"", ""British cinema"", ""United Kingdom setting""]"
Birds described in 1957 or Endemic birds of Panama,<mark>Endemic birds of Panama</mark> or <mark>Birds described in 1957</mark>,"[""Bird species described in 1957"", ""Endemic birds of Panama"", ""Panamanian avifauna"", ""Neotropical endemic birds"", ""Original species descriptions in ornithology""]"
what are Mesozoic cephalopods of North America or Asia,<mark>Mesozoic cephalopods of North America</mark> or <mark>Mesozoic cephalopods of Asia</mark>,"[""North American Mesozoic cephalopods"", ""Asian Mesozoic cephalopods"", ""Mesozoic ammonites"", ""Mesozoic belemnites"", ""Mesozoic nautiloids"", ""Mesozoic coleoids""]"
History books about Hinduism or Books about Hindutva,<mark>Books about Hindutva</mark> or <mark>History books about Hinduism</mark>,"[""Hinduism history"", ""Hindutva political ideology"", ""History of Hindu nationalist movements"", ""Indian religious reform movements"", ""Scholarly history books on Hinduism""]"
Biographical documentary crime war films but not about genocide,<mark>Crime war films</mark> that are also <mark>Biographical documentary films</mark> but not <mark>Films about genocide</mark>,"[""Biographical documentary films"", ""Crime documentary films"", ""War documentary films"", ""True crime documentary films"", ""Military conflict documentary films""]"
what are Novels by Ernst Jünger,<mark>Novels by Ernst Jünger</mark>,"[""Ernst J\u00fcnger novels"", ""Fiction by Ernst J\u00fcnger"", ""German-language novels"", ""20th-century German novels"", ""Bibliography of Ernst J\u00fcnger""]"
Birds found in Sierra Madre Oriental that aren't found in Sierra Madre Occidental,<mark>Birds of the Sierra Madre Oriental</mark> that are not <mark>Birds of the Sierra Madre Occidental</mark>,"[""Sierra Madre Oriental avifauna"", ""Endemic birds of Sierra Madre Oriental"", ""Montane birds of eastern Mexico"", ""Cloud forest birds of northeastern Mexico"", ""Pine-oak forest birds of Sierra Madre Oriental"", ""Gulf slope Mexican highland birds""]"
1985 speculative fiction novels that are not Science fiction.,<mark>1985 speculative fiction novels</mark> that are not <mark>Science fiction novels</mark>,"[""Speculative fiction novels"", ""Fantasy novels"", ""Horror novels"", ""Magical realism novels"", ""Alternate history novels"", ""Dark fantasy novels""]"
Rodents of Malaysia that are not in Indonesia,<mark>Rodents of Malaysia</mark> that are not <mark>Rodents of Indonesia</mark>,"[""Malaysian rodent species"", ""Peninsular Malaysia endemic rodents"", ""Sabah and Sarawak endemic rodents"", ""Muridae of Malaysia"", ""Sciuridae of Malaysia""]"
Novels set in elementary and primary schools excluding American children's novels,<mark>Novels set in elementary and primary schools</mark> that are not <mark>American children's novels</mark>,"[""Primary school settings"", ""School stories genre"", ""Adult fiction set in schools"", ""International fiction set in schools"", ""British school novels"", ""Translated school fiction""]"
Flora of Palau or Guam or Carnivorous plants of the Pacific,<mark>Flora of Guam</mark> or <mark>Carnivorous plants of the Pacific</mark> or <mark>Flora of Palau</mark>,"[""Flora of Palau"", ""Flora of Guam"", ""Carnivorous plants of the Pacific"", ""Micronesia native plants"", ""Pacific Islands plant diversity""]"
Birds of islands of the Atlantic Ocean and Vertebrates of Belize,<mark>Vertebrates of Belize</mark> that are also <mark>Birds of islands of the Atlantic Ocean</mark>,"[""Birds of Atlantic Ocean islands"", ""Endemic birds of Atlantic islands"", ""Seabirds of Atlantic islands"", ""Vertebrate fauna of Belize"", ""Mammals of Belize"", ""Reptiles of Belize""]"
Extinct animals from the Quaternary period or extinct birds from Europe,<mark>Quaternary animals of Europe</mark> or <mark>Extinct birds of Europe</mark>,"[""Late Quaternary animal extinctions"", ""Pleistocene extinct vertebrates"", ""Holocene megafaunal extinctions"", ""Pleistocene megafauna"", ""Extinct birds of Europe""]"
Mammals from Lesotho,<mark>Mammals of Lesotho</mark>,"[""Lesotho native mammals"", ""Endemic mammals of Lesotho"", ""Drakensberg-Maloti highland mammals"", ""Small mammals of Lesotho"", ""Bats of Lesotho"", ""Ungulates of Lesotho""]"
Angiosperms of Manchuria,<mark>Flora of Manchuria</mark> that are also <mark>Angiosperms</mark>,"[""Angiosperms"", ""Flora of Manchuria"", ""Sino-Japanese floristic region"", ""Temperate broadleaf forest flora"", ""Floristic checklists"", ""Plant biogeography of Northeast Asia""]"
"Japanese LGBT novels, Shueisha novels, or novels by Yukio Mishima",<mark>Shueisha books</mark> or <mark>Japanese LGBT novels</mark> or <mark>Novels by Yukio Mishima</mark>,"[""Japanese LGBT novels"", ""Shueisha published novels"", ""Yukio Mishima novels""]"
Non historical novels set in Vietnam,<mark>Novels set in Vietnam</mark> that are not <mark>Historical novels</mark>,"[""Novels set in Vietnam"", ""Contemporary Vietnam setting"", ""Vietnamese contemporary fiction"", ""Urban Vietnam fiction"", ""Expat life in Vietnam novels""]"
Flora of the United States that are both Flora of the Western United States and Apiaceae genera,<mark>Flora of the United States</mark> that are also both <mark>Flora of the Western United States</mark> and <mark>Apiaceae genera</mark>,"[""United States flora"", ""Western United States flora"", ""Apiaceae genera""]"
"Plants that exist in Mexico, Peru, and Nigeria",<mark>Flora of Mexico</mark> that are also both <mark>Flora of Peru</mark> and <mark>Flora of Nigeria</mark>,"[""Flora of Mexico"", ""Flora of Peru"", ""Flora of Nigeria"", ""Pantropical plant species"", ""Cosmopolitan plant species"", ""Globally cultivated crop species""]"
Horror war films that are not Monster movies,<mark>Horror war films</mark> that are not <mark>Monster movies</mark>,"[""War horror films"", ""Psychological horror in wartime"", ""Survival horror in combat zones"", ""World War I setting"", ""World War II setting"", ""Vietnam War setting""]"
what are the Flora of the Zanzibar Archipelago,<mark>Flora of the Zanzibar Archipelago</mark>,"[""Zanzibar Archipelago native flora"", ""Unguja Island coastal forest vegetation"", ""Pemba Island mangrove flora"", ""Coral rag scrub vegetation of the Zanzibar Archipelago"", ""Zanzibar endemic plant species"", ""Seagrass meadows of the Zanzibar Archipelago""]"
what are  some Flora of Madagascar that are also Magnoliales genera?,<mark>Flora of Madagascar</mark> that are also <mark>Magnoliales genera</mark>,"[""Flora of Madagascar"", ""Magnoliales genera"", ""Annonaceae in Madagascar"", ""Magnoliaceae in Madagascar"", ""Myristicaceae in Madagascar""]"
Non American pornographic horror films,<mark>Pornographic films</mark> that are also <mark>Pornographic horror films</mark> but not <mark>American pornographic films</mark>,"[""European pornographic horror films"", ""Japanese erotic horror cinema"", ""Italian sexploitation horror"", ""Hong Kong Category III erotic horror"", ""Nunsploitation horror films"", ""Erotic vampire films""]"
Non-comedic musical films from 1932,<mark>1932 musical films</mark> that are not <mark>1930s comedy films</mark>,"[""Musical feature films"", ""Musical drama films"", ""Romantic musical films"", ""Operetta films"", ""Backstage musicals"", ""Pre-Code Hollywood""]"
what are some Birds described in 2004,<mark>Birds described in 2004</mark>,"[""Newly described bird species"", ""Ornithological species descriptions"", ""Zootaxa avian taxonomy papers"", ""Passerine species discoveries"", ""Island endemic birds""]"
Insects found in both Africa and the Canary Islands,<mark>Insects of Africa</mark> that are also both <mark>Moths of Africa</mark> and <mark>Fauna of the Canary Islands</mark>,"[""Macaronesian entomofauna"", ""North African insect fauna"", ""Africa\u2013Canary Islands species co-occurrence"", ""Island biogeography of insects"", ""Lepidoptera shared across Macaronesia and North Africa"", ""Canary Islands insect checklists""]"
Mammals from both North and South America that are Neogene,<mark>Fauna of North America</mark> that are also both <mark>Miocene mammals of South America</mark> and <mark>Neogene mammals</mark>,"[""Neogene fossil mammals"", ""Miocene mammals"", ""Pliocene mammals"", ""North American fossil mammals"", ""South American fossil mammals"", ""Great American Biotic Interchange""]"
Flora of French Guiana but not Brazil,<mark>Flora of French Guiana</mark> that are not <mark>Flora of Brazil</mark>,"[""Flora of French Guiana"", ""Endemic plants of French Guiana"", ""Guiana Shield flora"", ""Tropical rainforest plants of French Guiana"", ""Vascular plants of French Guiana""]"
"Irish slasher, Irish supernatural horror, or Swedish comedy horror films",<mark>Swedish comedy horror films</mark> or <mark>Irish slasher films</mark> or <mark>Irish supernatural horror films</mark>,"[""Irish slasher films"", ""Irish supernatural horror films"", ""Swedish comedy horror films""]"
American spy and drama films about mental health,<mark>Films about mental health</mark> that are also both <mark>American spy films</mark> and <mark>Drama films</mark>,"[""American feature films"", ""Espionage films"", ""Psychological drama films"", ""Mental health themes"", ""Intelligence agencies in film""]"
Films based on Around the World in Eighty Days or set in Sylhet,<mark>Films set in Sylhet</mark> or <mark>Films based on Around the World in Eighty Days</mark>,"[""Film adaptations of Around the World in Eighty Days"", ""Jules Verne adaptation films"", ""Films set in Sylhet""]"
1979 American Biographical novels,<mark>Biographical novels</mark> that are also <mark>1979 American novels</mark>,"[""Biographical novels"", ""American novels"", ""Late 20th-century fiction"", ""Fiction about historical figures"", ""English-language literature""]"
Avant-garde and experimental films from 1910,<mark>1910s avant-garde and experimental films</mark>,"[""Silent era avant-garde cinema"", ""Early experimental short films"", ""Trick films and photographic effects"", ""Hand-colored and stencil color processes"", ""Early animation and non-narrative film"", ""Pre-World War I experimental cinema""]"
what are some movies based on works by Alexander Ostrovsky,<mark>Films based on works by Alexander Ostrovsky</mark>,"[""Alexander Ostrovsky film adaptations"", ""Russian stage-to-screen adaptations"", ""Soviet cinema adaptations of plays"", ""19th-century Russian drama"", ""Classic Russian plays in film""]"
Films based on works by Bob Kane that are not animated DC comic films,<mark>Films based on works by Bob Kane</mark> that are not <mark>Animated films based on DC Comics</mark>,"[""Bob Kane adaptations"", ""Batman comics adaptations"", ""Live-action Batman films"", ""Gotham City setting"", ""Batman rogues gallery characters""]"
Trees of the Caribbean that are also in the Southeastern United States and western South America,<mark>Flora of the Caribbean</mark> that are also both <mark>Trees of the Southeastern United States</mark> and <mark>Trees of western South America</mark>,"[""Caribbean native tree species"", ""Southeastern United States tree species"", ""Western South America tree species"", ""Neotropical mangrove tree species"", ""Tropical dry forest tree species"", ""Widespread Neotropical tree species""]"
1903 or Spanish silent short films,<mark>Spanish silent short films</mark> or <mark>1903 short films</mark>,"[""1903 films"", ""Spanish silent short films"", ""Spanish silent films"", ""Spanish short films"", ""silent era Spanish cinema""]"
Fauna of the Caribbean that are Fauna of East Asia,<mark>Fauna of the Caribbean</mark> that are also <mark>Fauna of East Asia</mark>,"[""Caribbean fauna"", ""East Asian fauna"", ""Circumtropical reef fishes"", ""Migratory seabirds"", ""Sea turtles"", ""Invasive synanthropic animals""]"
1992 American children's comedy animated musical films,<mark>1992 films</mark> that are also both <mark>Animated musical films</mark> and <mark>American children's comedy films</mark>,"[""American animated feature films"", ""Animated musical comedy films"", ""Children's comedy films"", ""Family-friendly animation"", ""American family films""]"
"1558, 1554, or 1555 books",<mark>1558 books</mark> or <mark>1554 books</mark> or <mark>1555 books</mark>,"[""Early modern printed books"", ""Mid-16th-century publications"", ""Renaissance literature"", ""Reformation-era works"", ""Post-incunabula European printing""]"
"Urban survival films, or set in 2040 or DC Animated Universe films",<mark>Urban survival films</mark> or <mark>Films set in 2040</mark> or <mark>DC Animated Universe films</mark>,"[""Urban survival films"", ""Post-apocalyptic urban films"", ""Films set in 2040"", ""DC Animated Universe films"", ""Animated superhero films""]"
Marine animals from Canada and the Eastern United States,<mark>Fauna of Canada</mark> that are also both <mark>Fauna of the Eastern United States</mark> and <mark>Marine animals</mark>,"[""Northwest Atlantic marine species"", ""Canadian Atlantic coast marine fauna"", ""Eastern United States coastal marine life"", ""Gulf of Maine marine biodiversity"", ""Gulf of St. Lawrence marine animals"", ""Mid-Atlantic Bight marine fauna""]"
1954 films about murderers,<mark>Films about murderers</mark> that are also <mark>1954 films</mark>,"[""murder mystery films"", ""psychological thriller films"", ""film noir"", ""serial killer films"", ""Hitchcock thrillers""]"
Political novels set in Russia but not a Speculative fiction,<mark>Political novels</mark> that are also <mark>Novels set in Russia</mark> but not <mark>Speculative fiction novels</mark>,"[""Political novels"", ""Novels set in Russia"", ""Soviet-era politics"", ""Imperial Russia setting"", ""Post-Soviet Russia"", ""Realist fiction""]"
2020s or South Korean political comedy or Indian political comedy-drama films,<mark>Indian political comedy-drama films</mark> or <mark>2020s political comedy films</mark> or <mark>South Korean political comedy films</mark>,"[""2020s films"", ""South Korean political comedy films"", ""Indian political comedy-drama films"", ""Political satire films""]"
2010s Supernatural films shot in South Carolina,<mark>Films shot in South Carolina</mark> that are also both <mark>2010s films</mark> and <mark>Supernatural films</mark>,"[""Supernatural films"", ""Supernatural horror films"", ""Supernatural thriller films"", ""Films shot in South Carolina"", ""Feature films""]"
historical high fantasy novels.,<mark>Historical novels subgenres</mark> that are also <mark>High fantasy novels</mark> but not <mark>Novels set in the future</mark>,"[""Historically inspired high fantasy"", ""Medieval-inspired secondary worlds"", ""Epic saga fantasy novels"", ""Court intrigue and dynastic politics"", ""Folklore-based magic systems"", ""Preindustrial warfare and society""]"
Books by Feng Menglong or novels that are Chinese comedy or Ming dynasty,<mark>Books by Feng Menglong</mark> or <mark>Chinese comedy novels</mark> or <mark>Ming dynasty novels</mark>,"[""Feng Menglong"", ""Ming dynasty fiction"", ""Chinese humorous fiction"", ""Chinese novels"", ""Vernacular Chinese fiction""]"
what are some Non-fiction books about Soviet repression or Belarusian books,<mark>Non-fiction books about Soviet repression</mark> or <mark>Belarusian books</mark>,"[""Soviet political repression"", ""Nonfiction about Soviet history"", ""Gulag memoirs"", ""Belarusian literature"", ""Belarusian nonfiction books""]"
Canadian novels from 1985 or Robertson Davies novels,<mark>1985 Canadian novels</mark> or <mark>Novels by Robertson Davies</mark>,"[""Canadian novels"", ""Late 20th-century Canadian fiction"", ""Robertson Davies novels"", ""English-language Canadian literature"", ""Canadian literary fiction""]"
2000 English books not about Europe,<mark>English books</mark> that are also <mark>2000 books</mark> but not <mark>Books about Europe</mark>,"[""English-language books"", ""Books about North America"", ""Books about Asia"", ""Books about Africa"", ""Books about South America"", ""Books about Oceania""]"
Insects of the Solomon Islands or Western New Guinea,<mark>Insects of Western New Guinea</mark> or <mark>Insects of the Solomon Islands</mark>,"[""Solomon Islands insect fauna"", ""Western New Guinea insect biodiversity"", ""Melanesian endemic insects"", ""Pacific island insect biogeography"", ""Tropical rainforest insect diversity""]"
Arecaceae that are trees of Indo-China,<mark>Arecaceae</mark> that are also <mark>Trees of Indo-China</mark>,"[""Arecaceae family"", ""Arborescent palms"", ""Indochina flora"", ""Native to Indochina""]"
1990s drama films that are Canadian adventure films,<mark>1990s drama films</mark> that are also <mark>Canadian adventure films</mark>,"[""1990s films"", ""Drama films"", ""Canadian adventure films"", ""Adventure drama films"", ""Canadian films""]"
"Barbets,Birds described in 1965, Endemic birds of Zambia",<mark>Endemic birds of Zambia</mark> or <mark>Barbets</mark> or <mark>Birds described in 1965</mark>,"[""Barbet species"", ""African barbets"", ""Endemic birds of Zambia"", ""Birds described in 1965"", ""Lybiidae family""]"
